"KEGG pathway ID"	"KEGG pathway name"	"KEGG main category"	"Gene ID(s)"	"Exact p-value"	"Adjusted p-value"	"# genes / category"	"# genes / input"
"03030"	"DNA replication"	"Genetic Information Processing"	"Pc12g04440 | Pc13g07420 | Pc16g10450 | Pc20g14580 | Pc21g10710 | Pc21g11440 | Pc21g15650 | Pc21g21700"	"0.0006394325"	"0.03580822"	"8 / 24"	"8 / 276"
"04145"	"Phagosome"	"Cellular Processes"	"Pc13g08280 | Pc13g14670 | Pc16g09660 | Pc18g01990 | Pc20g02810 | Pc21g12120"	"0.005832991"	"0.1633238"	"6 / 20"	"6 / 276"
"03430"	"Mismatch repair"	"Genetic Information Processing"	"Pc12g04440 | Pc13g07420 | Pc20g14580 | Pc21g11440 | Pc21g21700"	"0.0130423"	"0.2434563"	"5 / 17"	"5 / 276"
"03040"	"Spliceosome"	"Genetic Information Processing"	"Pc13g04070 | Pc13g10450 | Pc13g11030 | Pc16g04930 | Pc16g04940 | Pc20g01340 | Pc20g09280 | Pc21g00700 | Pc22g04980"	"0.03434272"	"0.4807981"	"9 / 52"	"9 / 276"
"03440"	"Homologous recombination"	"Genetic Information Processing"	"Pc13g07420 | Pc21g11440 | Pc21g21700"	"0.08322692"	"0.7124464"	"3 / 12"	"3 / 276"
"03060"	"Protein export"	"Genetic Information Processing"	"Pc16g09660 | Pc20g02810 | Pc22g13910"	"0.08322692"	"0.7124464"	"3 / 12"	"3 / 276"
"00909"	"Sesquiterpenoid and triterpenoid biosynthesis"	"Metabolism"	"Pc22g15550"	"0.08905579"	"0.7124464"	"1 / 1"	"1 / 276"
"03420"	"Nucleotide excision repair"	"Genetic Information Processing"	"Pc12g04440 | Pc13g07420 | Pc20g14580 | Pc21g11440 | Pc21g21700"	"0.1336769"	"0.7730672"	"5 / 31"	"5 / 276"
"03010"	"Ribosome"	"Genetic Information Processing"	"Pc13g11000 | Pc13g11570 | Pc16g02610 | Pc16g04120 | Pc16g09260 | Pc21g06920 | Pc21g21880 | Pc22g19050 | Pc22g20980"	"0.1502721"	"0.7730672"	"9 / 69"	"9 / 276"
"00450"	"Selenocompound metabolism"	"Metabolism"	"Pc13g06020"	"0.1702678"	"0.7730672"	"1 / 2"	"1 / 276"
"00100"	"Steroid biosynthesis"	"Metabolism"	"Pc22g15550"	"0.1702678"	"0.7730672"	"1 / 2"	"1 / 276"
"00332"	"Carbapenem biosynthesis"	"Metabolism"	"Pc13g05550"	"0.1702678"	"0.7730672"	"1 / 2"	"1 / 276"
"00920"	"Sulfur metabolism"	"Metabolism"	"Pc12g07280 | Pc13g08270"	"0.1874876"	"0.7730672"	"2 / 9"	"2 / 276"
"04113"	"Meiosis - yeast"	"Cellular Processes"	"Pc16g01160 | Pc16g10450 | Pc21g10710 | Pc21g15650 | Pc22g02330"	"0.2103268"	"0.7730672"	"5 / 36"	"5 / 276"
"04141"	"Protein processing in endoplasmic reticulum"	"Genetic Information Processing"	"Pc12g15830 | Pc12g16320 | Pc16g09660 | Pc20g02810 | Pc21g05240 | Pc22g21450"	"0.2189256"	"0.7730672"	"6 / 46"	"6 / 276"
"00785"	"Lipoic acid metabolism"	"Metabolism"	"Pc20g03200"	"0.2443192"	"0.7730672"	"1 / 3"	"1 / 276"
"00513"	"Various types of N-glycan biosynthesis"	"Metabolism"	"Pc16g12320 | Pc21g05240"	"0.2558573"	"0.7730672"	"2 / 11"	"2 / 276"
