"KEGG pathway ID"	"KEGG pathway name"	"KEGG main category"	"Gene ID(s)"	"Exact p-value"	"Adjusted p-value"	"# genes / category"	"# genes / input"
"04145"	"Phagosome"	"Cellular Processes"	"Pc13g08280 | Pc13g14670 | Pc15g00440 | Pc16g09660 | Pc20g02810 | Pc21g12120"	"0.008740333"	"0.4843467"	"6 / 20"	"6 / 289"
"03430"	"Mismatch repair"	"Genetic Information Processing"	"Pc12g04440 | Pc12g15640 | Pc20g14580 | Pc21g11440 | Pc21g14450"	"0.01823298"	"0.4843467"	"5 / 17"	"5 / 289"
"00780"	"Biotin metabolism"	"Metabolism"	"Pc20g13420 | Pc22g09030"	"0.02594714"	"0.4843467"	"2 / 3"	"2 / 289"
"03040"	"Spliceosome"	"Genetic Information Processing"	"Pc12g04780 | Pc13g04070 | Pc13g11030 | Pc16g04930 | Pc16g04940 | Pc20g10480 | Pc20g15290 | Pc21g00700 | Pc21g04460"	"0.0542384"	"0.5985801"	"9 / 52"	"9 / 289"
"00510"	"N-Glycan biosynthesis"	"Metabolism"	"Pc13g10270 | Pc16g12320 | Pc21g05240 | Pc22g00440"	"0.07274807"	"0.5985801"	"4 / 17"	"4 / 289"
"03030"	"DNA replication"	"Genetic Information Processing"	"Pc12g04440 | Pc20g14580 | Pc21g10710 | Pc21g11440 | Pc21g14450"	"0.07294127"	"0.5985801"	"5 / 24"	"5 / 289"
"00513"	"Various types of N-glycan biosynthesis"	"Metabolism"	"Pc16g12320 | Pc21g05240 | Pc22g00440"	"0.08123967"	"0.5985801"	"3 / 11"	"3 / 289"
"00909"	"Sesquiterpenoid and triterpenoid biosynthesis"	"Metabolism"	"Pc22g15550"	"0.09656652"	"0.5985801"	"1 / 1"	"1 / 289"
"03060"	"Protein export"	"Genetic Information Processing"	"Pc16g09660 | Pc20g02810 | Pc22g13910"	"0.1009887"	"0.5985801"	"3 / 12"	"3 / 289"
"00190"	"Oxidative phosphorylation"	"Metabolism"	"Pc12g12260 | Pc13g08280 | Pc13g14670 | Pc15g00440 | Pc18g01510 | Pc20g13280 | Pc21g12120"	"0.111349"	"0.5985801"	"7 / 43"	"7 / 289"
"03010"	"Ribosome"	"Genetic Information Processing"	"Pc13g02890 | Pc13g11000 | Pc16g02610 | Pc16g04120 | Pc16g09260 | Pc20g00440 | Pc20g03340 | Pc20g08290 | Pc21g22970 | Pc22g19050"	"0.1175782"	"0.5985801"	"10 / 69"	"10 / 289"
"00600"	"Sphingolipid metabolism"	"Metabolism"	"Pc22g13200 | Pc22g14340"	"0.1406901"	"0.6565537"	"2 / 7"	"2 / 289"
"00061"	"Fatty acid biosynthesis"	"Metabolism"	"Pc22g09030"	"0.1839017"	"0.7356066"	"1 / 2"	"1 / 289"
"00100"	"Steroid biosynthesis"	"Metabolism"	"Pc22g15550"	"0.1839017"	"0.7356066"	"1 / 2"	"1 / 289"
"00910"	"Nitrogen metabolism"	"Metabolism"	"Pc22g11310"	"0.2628789"	"0.8788024"	"1 / 3"	"1 / 289"
"00785"	"Lipoic acid metabolism"	"Metabolism"	"Pc20g03200"	"0.2628789"	"0.8788024"	"1 / 3"	"1 / 289"
"00970"	"Aminoacyl-tRNA biosynthesis"	"Genetic Information Processing"	"Pc12g04280 | Pc12g12720 | Pc22g02510"	"0.2753685"	"0.8788024"	"3 / 19"	"3 / 289"
"00500"	"Starch and sucrose metabolism"	"Metabolism"	"Pc21g15690 | Pc22g04100"	"0.2879316"	"0.8788024"	"2 / 11"	"2 / 289"
"04144"	"Endocytosis"	"Cellular Processes"	"Pc12g16060 | Pc13g06600 | Pc22g06760"	"0.3308041"	"0.8788024"	"3 / 21"	"3 / 289"
"00040"	"Pentose and glucuronate interconversions"	"Metabolism"	"Pc12g00550"	"0.33429"	"0.8788024"	"1 / 4"	"1 / 289"
"03420"	"Nucleotide excision repair"	"Genetic Information Processing"	"Pc12g04440 | Pc20g14580 | Pc21g11440 | Pc21g14450"	"0.3506257"	"0.8788024"	"4 / 31"	"4 / 289"
"00563"	"Glycosylphosphatidylinositol(GPI)-anchor biosynthesis"	"Metabolism"	"Pc16g13450 | Pc20g01160"	"0.3622063"	"0.8788024"	"2 / 13"	"2 / 289"
"00280"	"Valine, leucine and isoleucine degradation"	"Metabolism"	"Pc12g08790"	"0.3988524"	"0.8788024"	"1 / 5"	"1 / 289"
"01212"	"Fatty acid metabolism"	"Metabolism"	"Pc22g09030"	"0.3988524"	"0.8788024"	"1 / 5"	"1 / 289"
"00030"	"Pentose phosphate pathway"	"Metabolism"	"Pc12g00550 | Pc22g25470"	"0.4335227"	"0.8788024"	"2 / 15"	"2 / 289"
"04141"	"Protein processing in endoplasmic reticulum"	"Genetic Information Processing"	"Pc12g15830 | Pc13g03990 | Pc16g09660 | Pc20g02810 | Pc21g05240"	"0.4628572"	"0.8788024"	"5 / 46"	"5 / 289"
"03018"	"RNA degradation"	"Genetic Information Processing"	"Pc12g07260 | Pc13g11030 | Pc21g04460"	"0.4671252"	"0.8788024"	"3 / 26"	"3 / 289"
"01100"	"Metabolic pathways"	"Metabolism"	"Pc12g00550 | Pc12g07280 | Pc12g08790 | Pc12g09190 | Pc12g12260 | Pc13g08280 | Pc13g10270 | Pc13g14670 | Pc15g00440 | Pc15g00490 | Pc16g12320 | Pc16g12690 | Pc16g13450 | Pc18g01510 | Pc20g03200 | Pc20g11690 | Pc20g13280 | Pc20g13420 | Pc21g05240 | Pc21g10250 | Pc21g12120 | Pc21g14560 | Pc21g20490 | Pc22g00440 | Pc22g03810 | Pc22g09030 | Pc22g11310 | Pc22g13200 | Pc22g14340 | Pc22g15550 | Pc22g19100 | Pc22g25470"	"0.485458"	"0.8788024"	"32 / 325"	"32 / 289"
"00340"	"Histidine metabolism"	"Metabolism"	"Pc20g11690"	"0.5099706"	"0.8788024"	"1 / 7"	"1 / 289"
"00750"	"Vitamin B6 metabolism"	"Metabolism"	"Pc21g10250"	"0.5099706"	"0.8788024"	"1 / 7"	"1 / 289"
"00920"	"Sulfur metabolism"	"Metabolism"	"Pc12g07280"	"0.6007353"	"0.8788024"	"1 / 9"	"1 / 289"
"00020"	"Citrate cycle (TCA cycle)"	"Metabolism"	"Pc21g20490"	"0.6007353"	"0.8788024"	"1 / 9"	"1 / 289"
"00250"	"Alanine, aspartate and glutamate metabolism"	"Metabolism"	"Pc22g11310"	"0.6007353"	"0.8788024"	"1 / 9"	"1 / 289"
"00670"	"One carbon pool by folate"	"Metabolism"	"Pc22g19100"	"0.6007353"	"0.8788024"	"1 / 9"	"1 / 289"
"03008"	"Ribosome biogenesis in eukaryotes"	"Genetic Information Processing"	"Pc15g00080 | Pc16g01720 | Pc20g09320 | Pc21g17600"	"0.6116693"	"0.8788024"	"4 / 43"	"4 / 289"
"04130"	"SNARE interactions in vesicular transport"	"Genetic Information Processing"	"Pc20g01620"	"0.6396668"	"0.8788024"	"1 / 10"	"1 / 289"
"00051"	"Fructose and mannose metabolism"	"Metabolism"	"Pc12g09190"	"0.6748403"	"0.8788024"	"1 / 11"	"1 / 289"
"01110"	"Biosynthesis of secondary metabolites"	"Metabolism"	"Pc12g00550 | Pc12g08790 | Pc12g09190 | Pc20g11690 | Pc21g14560 | Pc21g20490 | Pc22g11310 | Pc22g15550 | Pc22g19100 | Pc22g23800 | Pc22g25470"	"0.6974917"	"0.8788024"	"11 / 126"	"11 / 289"
"03440"	"Homologous recombination"	"Genetic Information Processing"	"Pc21g11440"	"0.7066149"	"0.8788024"	"1 / 12"	"1 / 289"
"01200"	"Carbon metabolism"	"Metabolism"	"Pc12g00550 | Pc21g14560 | Pc22g25470"	"0.7122759"	"0.8788024"	"3 / 37"	"3 / 289"
"00520"	"Amino sugar and nucleotide sugar metabolism"	"Metabolism"	"Pc12g09190 | Pc22g23800"	"0.7140551"	"0.8788024"	"2 / 25"	"2 / 289"
"03022"	"Basal transcription factors"	"Genetic Information Processing"	"Pc21g01240 | Pc21g02570"	"0.7140551"	"0.8788024"	"2 / 25"	"2 / 289"
"01230"	"Biosynthesis of amino acids"	"Metabolism"	"Pc12g00550 | Pc20g11690 | Pc21g14560 | Pc22g11310"	"0.7160898"	"0.8788024"	"4 / 49"	"4 / 289"
"03013"	"RNA transport"	"Genetic Information Processing"	"Pc13g04070 | Pc15g00550 | Pc16g01720 | Pc21g16240 | Pc22g19890"	"0.7490669"	"0.8788024"	"5 / 63"	"5 / 289"
"03015"	"mRNA surveillance pathway"	"Genetic Information Processing"	"Pc13g04070 | Pc21g11350"	"0.7539545"	"0.8788024"	"2 / 27"	"2 / 289"
"04140"	"Regulation of autophagy"	"Cellular Processes"	"Pc18g04440"	"0.7612368"	"0.8788024"	"1 / 14"	"1 / 289"
"03020"	"RNA polymerase"	"Genetic Information Processing"	"Pc16g12690"	"0.7612368"	"0.8788024"	"1 / 14"	"1 / 289"
"04111"	"Cell cycle - yeast"	"Cellular Processes"	"Pc20g14730 | Pc21g10710 | Pc21g14880 | Pc22g21760"	"0.7735658"	"0.8788024"	"4 / 53"	"4 / 289"
"00010"	"Glycolysis / Gluconeogenesis"	"Metabolism"	"Pc21g14560"	"0.784645"	"0.8788024"	"1 / 15"	"1 / 289"
