"KEGG pathway ID"	"KEGG pathway name"	"KEGG main category"	"Gene ID(s)"	"Exact p-value"	"Adjusted p-value"	"# genes / category"	"# genes / input"
"04145"	"Phagosome"	"Cellular Processes"	"Pc13g08280 | Pc13g14670 | Pc15g00440 | Pc20g02810"	"0.004733925"	"0.1420177"	"4 / 20"	"4 / 105"
"03010"	"Ribosome"	"Genetic Information Processing"	"Pc13g02890 | Pc13g11000 | Pc16g02610 | Pc16g09260 | Pc20g03340 | Pc22g19050"	"0.03389437"	"0.3983613"	"6 / 69"	"6 / 105"
"03030"	"DNA replication"	"Genetic Information Processing"	"Pc12g04440 | Pc20g14580 | Pc21g10710"	"0.05316085"	"0.3983613"	"3 / 24"	"3 / 105"
"00513"	"Various types of N-glycan biosynthesis"	"Metabolism"	"Pc16g12320 | Pc21g05240"	"0.05782147"	"0.3983613"	"2 / 11"	"2 / 105"
"00190"	"Oxidative phosphorylation"	"Metabolism"	"Pc12g12260 | Pc13g08280 | Pc13g14670 | Pc15g00440"	"0.06639355"	"0.3983613"	"4 / 43"	"4 / 105"
"00510"	"N-Glycan biosynthesis"	"Metabolism"	"Pc16g12320 | Pc21g05240"	"0.1248494"	"0.5350689"	"2 / 17"	"2 / 105"
"03430"	"Mismatch repair"	"Genetic Information Processing"	"Pc12g04440 | Pc20g14580"	"0.1248494"	"0.5350689"	"2 / 17"	"2 / 105"
"00970"	"Aminoacyl-tRNA biosynthesis"	"Genetic Information Processing"	"Pc12g12720 | Pc22g02510"	"0.150112"	"0.5629202"	"2 / 19"	"2 / 105"
"00600"	"Sphingolipid metabolism"	"Metabolism"	"Pc22g13200"	"0.2297163"	"0.6860988"	"1 / 7"	"1 / 105"
"00340"	"Histidine metabolism"	"Metabolism"	"Pc20g11690"	"0.2297163"	"0.6860988"	"1 / 7"	"1 / 105"
"00670"	"One carbon pool by folate"	"Metabolism"	"Pc22g19100"	"0.2853314"	"0.6860988"	"1 / 9"	"1 / 105"
"03040"	"Spliceosome"	"Genetic Information Processing"	"Pc13g04070 | Pc16g04930 | Pc21g00700"	"0.2937252"	"0.6860988"	"3 / 52"	"3 / 105"
"03420"	"Nucleotide excision repair"	"Genetic Information Processing"	"Pc12g04440 | Pc20g14580"	"0.3136972"	"0.6860988"	"2 / 31"	"2 / 105"
"00500"	"Starch and sucrose metabolism"	"Metabolism"	"Pc21g15690"	"0.3370408"	"0.6860988"	"1 / 11"	"1 / 105"
"03060"	"Protein export"	"Genetic Information Processing"	"Pc20g02810"	"0.3615148"	"0.6860988"	"1 / 12"	"1 / 105"
"03013"	"RNA transport"	"Genetic Information Processing"	"Pc13g04070 | Pc21g16240 | Pc22g19890"	"0.407393"	"0.6860988"	"3 / 63"	"3 / 105"
"03020"	"RNA polymerase"	"Genetic Information Processing"	"Pc16g12690"	"0.4078599"	"0.6860988"	"1 / 14"	"1 / 105"
"04011"	"MAPK signaling pathway - yeast"	"Environmental Information Processing"	"Pc16g10360"	"0.429791"	"0.6860988"	"1 / 15"	"1 / 105"
"00240"	"Pyrimidine metabolism"	"Metabolism"	"Pc15g00490 | Pc16g12690"	"0.4345293"	"0.6860988"	"2 / 40"	"2 / 105"
"03008"	"Ribosome biogenesis in eukaryotes"	"Genetic Information Processing"	"Pc15g00080 | Pc20g09320"	"0.4725334"	"0.7088001"	"2 / 43"	"2 / 105"
"04141"	"Protein processing in endoplasmic reticulum"	"Genetic Information Processing"	"Pc20g02810 | Pc21g05240"	"0.5090722"	"0.7243166"	"2 / 46"	"2 / 105"
"04144"	"Endocytosis"	"Cellular Processes"	"Pc22g06760"	"0.5457368"	"0.7243166"	"1 / 21"	"1 / 105"
"00230"	"Purine metabolism"	"Metabolism"	"Pc16g12690 | Pc22g19100"	"0.5553094"	"0.7243166"	"2 / 50"	"2 / 105"
"04120"	"Ubiquitin mediated proteolysis"	"Genetic Information Processing"	"Pc12g08100"	"0.6386596"	"0.7663915"	"1 / 27"	"1 / 105"
"03015"	"mRNA surveillance pathway"	"Genetic Information Processing"	"Pc13g04070"	"0.6386596"	"0.7663915"	"1 / 27"	"1 / 105"
"01100"	"Metabolic pathways"	"Metabolism"	"Pc12g12260 | Pc13g08280 | Pc13g14670 | Pc15g00440 | Pc15g00490 | Pc16g12320 | Pc16g12690 | Pc20g11690 | Pc21g05240 | Pc22g13200 | Pc22g19100"	"0.685465"	"0.7909211"	"11 / 325"	"11 / 105"
"04113"	"Meiosis - yeast"	"Cellular Processes"	"Pc21g10710"	"0.7443982"	"0.8271091"	"1 / 36"	"1 / 105"
"01230"	"Biosynthesis of amino acids"	"Metabolism"	"Pc20g11690"	"0.8459546"	"0.8983253"	"1 / 49"	"1 / 105"
"04111"	"Cell cycle - yeast"	"Cellular Processes"	"Pc21g10710"	"0.8683811"	"0.8983253"	"1 / 53"	"1 / 105"
"01110"	"Biosynthesis of secondary metabolites"	"Metabolism"	"Pc20g11690 | Pc22g19100"	"0.9574392"	"0.9574392"	"2 / 126"	"2 / 105"
