"KEGG pathway ID"	"KEGG pathway name"	"KEGG main category"	"Gene ID(s)"	"Exact p-value"	"Adjusted p-value"	"# genes / category"	"# genes / input"
"03430"	"Mismatch repair"	"Genetic Information Processing"	"Pc20g14580 | Pc21g21700"	"0.01857454"	"0.1672918"	"2 / 17"	"2 / 54"
"03040"	"Spliceosome"	"Genetic Information Processing"	"Pc16g04930 | Pc20g09280 | Pc22g04980"	"0.02521325"	"0.1672918"	"3 / 52"	"3 / 54"
"03030"	"DNA replication"	"Genetic Information Processing"	"Pc20g14580 | Pc21g21700"	"0.03584823"	"0.1672918"	"2 / 24"	"2 / 54"
"03420"	"Nucleotide excision repair"	"Genetic Information Processing"	"Pc20g14580 | Pc21g21700"	"0.05744045"	"0.2010416"	"2 / 31"	"2 / 54"
"00920"	"Sulfur metabolism"	"Metabolism"	"Pc12g07280"	"0.1105387"	"0.2534318"	"1 / 9"	"1 / 54"
"00500"	"Starch and sucrose metabolism"	"Metabolism"	"Pc22g04100"	"0.1335286"	"0.2534318"	"1 / 11"	"1 / 54"
"03440"	"Homologous recombination"	"Genetic Information Processing"	"Pc21g21700"	"0.1448181"	"0.2534318"	"1 / 12"	"1 / 54"
"03060"	"Protein export"	"Genetic Information Processing"	"Pc22g13910"	"0.1448181"	"0.2534318"	"1 / 12"	"1 / 54"
"04011"	"MAPK signaling pathway - yeast"	"Environmental Information Processing"	"Pc16g10360"	"0.1778827"	"0.2767064"	"1 / 15"	"1 / 54"
"00520"	"Amino sugar and nucleotide sugar metabolism"	"Metabolism"	"Pc22g23800"	"0.279819"	"0.3802399"	"1 / 25"	"1 / 54"
"04120"	"Ubiquitin mediated proteolysis"	"Genetic Information Processing"	"Pc12g08100"	"0.2987599"	"0.3802399"	"1 / 27"	"1 / 54"
"03010"	"Ribosome"	"Genetic Information Processing"	"Pc13g11000"	"0.6049442"	"0.7057683"	"1 / 69"	"1 / 54"
"01110"	"Biosynthesis of secondary metabolites"	"Metabolism"	"Pc22g23800"	"0.8269472"	"0.8905585"	"1 / 126"	"1 / 54"
"01100"	"Metabolic pathways"	"Metabolism"	"Pc12g07280"	"0.9943943"	"0.9943943"	"1 / 325"	"1 / 54"
